Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-29,03:48:14,entry,21664.0,21664.0,NQ1!,1,buy,long,0.0
2025-01-29,03:52:14,exit,21672.0,21672.0,NQ1!,1,sell,flat,0.0
2025-01-29,04:37:38,entry,21672.0,21672.0,NQ1!,1,buy,long,0.0
2025-01-29,04:47:14,exit,21672.0,21672.0,NQ1!,1,sell,flat,0.0
2025-01-29,05:49:27,entry,21672.0,21672.0,NQ1!,1,buy,long,0.0
2025-01-29,06:00:11,exit,21680.0,21680.0,NQ1!,1,sell,flat,0.0
2025-01-29,06:05:06,entry,21672.0,21672.0,NQ1!,1,sell,short,0.0
2025-01-29,06:11:27,exit,21668.0,21668.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:19:02,entry,21588.0,21588.0,NQ1!,1,sell,short,0.0
2025-01-29,07:19:02,exit,21588.0,21588.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:22:52,entry,21572.0,21572.0,NQ1!,1,sell,short,0.0
2025-01-29,07:23:22,exit,21584.0,21584.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:33:24,entry,21576.0,21576.0,NQ1!,1,sell,short,0.0
2025-01-29,07:36:05,exit,21580.0,21580.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:47:52,entry,21572.0,21572.0,NQ1!,1,sell,short,0.0
2025-01-29,07:49:51,exit,21580.0,21580.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:51:26,exit,21576.0,21576.0,NQ1!,1,buy,flat,0.0
2025-01-29,07:51:26,entry,21576.0,21576.0,NQ1!,1,sell,short,0.0
2025-01-29,07:58:32,entry,21592.0,21592.0,NQ1!,1,buy,long,0.0
2025-01-29,08:04:24,exit,21612.0,21612.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:11:10,entry,21604.0,21604.0,NQ1!,1,sell,short,0.0
2025-01-29,08:15:10,exit,21612.0,21612.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:19:55,entry,21612.0,21612.0,NQ1!,1,sell,short,0.0
2025-01-29,08:25:03,exit,21620.0,21620.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:28:08,entry,21616.0,21616.0,NQ1!,1,buy,long,0.0
2025-01-29,08:28:09,exit,21612.0,21612.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:34:56,entry,21536.0,21536.0,NQ1!,1,sell,short,0.0
2025-01-29,08:35:15,exit,21548.0,21548.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:35:45,entry,21560.0,21560.0,NQ1!,1,buy,long,0.0
2025-01-29,08:36:26,exit,21552.0,21552.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:37:43,entry,21536.0,21536.0,NQ1!,1,sell,short,0.0
2025-01-29,08:38:05,exit,21540.0,21540.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:44:40,entry,21528.0,21528.0,NQ1!,1,buy,long,0.0
2025-01-29,08:44:49,exit,21516.0,21516.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:45:20,entry,21500.0,21500.0,NQ1!,1,sell,short,0.0
2025-01-29,08:45:31,exit,21512.0,21512.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:45:35,entry,21524.0,21524.0,NQ1!,1,buy,long,0.0
2025-01-29,08:46:05,exit,21516.0,21516.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:48:27,entry,21516.0,21516.0,NQ1!,1,sell,short,0.0
2025-01-29,08:49:34,exit,21508.0,21508.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:49:42,entry,21504.0,21504.0,NQ1!,1,sell,short,0.0
2025-01-29,08:50:45,exit,21512.0,21512.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:52:03,entry,21528.0,21528.0,NQ1!,1,buy,long,0.0
2025-01-29,08:53:17,exit,21548.0,21548.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:54:00,entry,21520.0,21520.0,NQ1!,1,sell,short,0.0
2025-01-29,08:54:17,exit,21528.0,21528.0,NQ1!,1,buy,flat,0.0
2025-01-29,08:55:09,entry,21528.0,21528.0,NQ1!,1,buy,long,0.0
2025-01-29,08:55:31,exit,21524.0,21524.0,NQ1!,1,sell,flat,0.0
