symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21456,21452,1/29/2025 12:14,1/29/2025 12:15,1min 2sec,($80.00),106,"$3,680.00 "
NQH5,0.25,1,21456,21472,1/29/2025 12:24,1/29/2025 12:26,1min 31sec,$320.00 ,107,"$4,000.00 "
NQH5,0.25,1,21488,21488,1/29/2025 12:34,1/29/2025 12:33,-67sec,$0.00 ,108,"$4,000.00 "
NQH5,0.25,1,21476,21484,1/29/2025 12:48,1/29/2025 12:50,1min 53sec,$160.00 ,109,"$4,160.00 "
NQH5,0.25,1,21484,21476,1/29/2025 12:51,1/29/2025 12:51,-35sec,($160.00),110,"$4,000.00 "
NQH5,0.25,1,21460,21464,1/29/2025 13:00,1/29/2025 13:00,1sec,$80.00 ,111,"$4,080.00 "
NQH5,0.25,1,21436,21436,1/29/2025 13:00,1/29/2025 13:00,0sec,$0.00 ,112,"$4,080.00 "
NQH5,0.25,1,21444,21444,1/29/2025 13:00,1/29/2025 13:00,0sec,$0.00 ,113,"$4,080.00 "
NQH5,0.25,1,21412,21412,1/29/2025 13:00,1/29/2025 13:00,0sec,$0.00 ,114,"$4,080.00 "
NQH5,0.25,1,21412,21420,1/29/2025 13:00,1/29/2025 13:00,-1sec,$160.00 ,115,"$4,240.00 "
NQH5,0.25,1,21416,21408,1/29/2025 13:00,1/29/2025 13:00,5sec,($160.00),116,"$4,080.00 "
NQH5,0.25,1,21460,21456,1/29/2025 13:03,1/29/2025 13:02,-23sec,($80.00),117,"$4,000.00 "
NQH5,0.25,1,21400,21416,1/29/2025 13:17,1/29/2025 13:16,-40sec,$320.00 ,118,"$4,320.00 "
NQH5,0.25,1,21412,21408,1/29/2025 13:20,1/29/2025 13:20,50sec,($80.00),119,"$4,240.00 "
NQH5,0.25,1,21412,21404,1/29/2025 13:27,1/29/2025 13:26,-43sec,($160.00),120,"$4,080.00 "
NQH5,0.25,1,21412,21432,1/29/2025 13:37,1/29/2025 13:37,37sec,$400.00 ,121,"$4,480.00 "
NQH5,0.25,1,21484,21484,1/29/2025 13:39,1/29/2025 13:39,0sec,$0.00 ,122,"$4,480.00 "
NQH5,0.25,1,21536,21528,1/29/2025 13:41,1/29/2025 13:41,-6sec,($160.00),123,"$4,320.00 "
NQH5,0.25,1,21552,21556,1/29/2025 13:41,1/29/2025 13:42,35sec,$80.00 ,124,"$4,400.00 "
NQH5,0.25,1,21532,21552,1/29/2025 13:42,1/29/2025 13:42,-25sec,$400.00 ,125,"$4,800.00 "
NQH5,0.25,1,21540,21532,1/29/2025 13:44,1/29/2025 13:44,11sec,($160.00),126,"$4,640.00 "
NQH5,0.25,1,21544,21544,1/29/2025 13:44,1/29/2025 13:44,0sec,$0.00 ,127,"$4,640.00 "
NQH5,0.25,1,21524,21528,1/29/2025 13:45,1/29/2025 13:45,-10sec,$80.00 ,128,"$4,720.00 "
NQH5,0.25,1,21532,21552,1/29/2025 13:46,1/29/2025 13:46,42sec,$400.00 ,129,"$5,120.00 "
NQH5,0.25,1,21544,21548,1/29/2025 13:48,1/29/2025 13:48,-15sec,$80.00 ,130,"$5,200.00 "
NQH5,0.25,1,21552,21540,1/29/2025 13:50,1/29/2025 13:50,10sec,($240.00),131,"$4,960.00 "
NQH5,0.25,1,21520,21540,1/29/2025 13:57,1/29/2025 13:57,21sec,$400.00 ,132,"$5,360.00 "
NQH5,0.25,1,21540,21536,1/29/2025 14:00,1/29/2025 13:59,-62sec,($80.00),133,"$5,280.00 "
NQH5,0.25,1,21684,21684,1/30/2025 2:42,1/30/2025 2:32,-601sec,$0.00 ,134,"$5,280.00 "
NQH5,0.25,1,21624,21620,1/30/2025 4:26,1/30/2025 4:17,-511sec,($80.00),135,"$5,200.00 "
